Division2,Extranjero,Altura,Peso,Edad,PiernaPreferida,Posicion,Valor,SueldoMensual,CalidadActual,CalidadPotencial
Argentina (Premier Division),SI,178,77,22,Zurdo,Delantero,36000,1900,90,120
Argentina (Interior Zone),NO,167,76,26,Diestro,Mediocampista,145000,2800,95,120
Argentina (Second Division),NO,176,67,21,Zurdo,Mediocampista,850000,6400,104,120
Argentina (Premier Division),NO,172,65,18,Zurdo,Defensor,77000,100,70,120
Argentina (Second Division),NO,179,74,22,Diestro,Defensor,475000,6800,105,120
Argentina (Second Division),NO,191,89,23,Diestro,Delantero,900000,9200,111,120
Argentina (Second Division),NO,191,104,21,Diestro,Defensor,350000,3800,90,120
Argentina (Second Division),NO,180,71,26,Diestro,Arquero,425000,7200,105,120
Argentina (Interior Zone),SI,175,71,23,Diestro,Defensor,195000,2300,104,120
Argentina (Premier Division),NO,176,71,17,Zurdo,Defensor,275000,100,86,120
Argentina (Premier Division),NO,186,86,22,Diestro,Defensor,500000,4400,95,120
Argentina (Second Division),NO,175,64,33,Diestro,Delantero,210000,8000,114,120
Argentina (Second Division),NO,187,82,20,Diestro,Arquero,275000,20,89,120
Argentina (Interior Zone),NO,181,77,21,Diestro,Defensor,300000,4800,95,120
Argentina (Metropolitan Zone),NO,186,78,21,Diestro,Defensor,220000,2500,85,120
Argentina (Premier Division),NO,188,74,20,Diestro,Delantero,450000,100,97,120
Argentina (Premier Division),NO,175,75,21,Zurdo,Defensor,160000,1800,88,120
Argentina (Premier Division),NO,180,74,18,Zurdo,Defensor,325000,3000,85,120
Argentina (Metropolitan Zone),NO,182,87,36,Zurdo,Arquero,42500,5600,111,120
Argentina (Second Division),NO,180,86,37,Diestro,Delantero,185000,15600,119,120
Argentina (Premier Division),NO,179,78,30,Zurdo,Defensor,1200000,10800,119,120
Argentina (Second Division),NO,170,65,25,Diestro,Mediocampista,625000,7200,114,120
Argentina (Interior Zone),NO,179,75,31,Zurdo,Mediocampista,300000,9200,107,120
Argentina (Interior Zone),NO,176,69,29,Diestro,Delantero,350000,5600,108,120
Argentina (Metropolitan Zone),NO,188,91,35,Zurdo,Arquero,375000,12400,107,120
Argentina (Premier Division),SI,188,80,26,Zurdo,Defensor,900000,8800,115,120
Argentina (Metropolitan Zone),NO,175,65,31,Zurdo,Mediocampista,170000,4800,101,120
Argentina (Second Division),NO,166,67,30,Diestro,Mediocampista,625000,9200,115,120
Argentina (Premier Division),NO,175,65,19,Diestro,Delantero,220000,100,89,120
Argentina (Second Division),NO,168,62,21,Zurdo,Mediocampista,850000,8400,104,120
Argentina (Second Division),NO,185,79,34,Diestro,Defensor,140000,10000,110,120
Argentina (Premier Division),NO,178,68,21,Zurdo,Mediocampista,725000,8400,110,120
Argentina (Premier Division),NO,185,91,30,Diestro,Mediocampista,1300000,560,118,120
Argentina (Second Division),SI,180,70,26,Diestro,Mediocampista,575000,8800,114,120
Argentina (Premier Division),NO,178,69,18,Diestro,Mediocampista,475000,5200,95,120
Argentina (Premier Division),NO,177,69,19,Zurdo,Mediocampista,250000,100,90,120
Argentina (Metropolitan Zone),NO,191,88,21,Diestro,Arquero,155000,4000,95,120
Argentina (Second Division),NO,164,57,19,Diestro,Mediocampista,160000,20,86,120
Argentina (Premier Division),NO,183,78,29,Diestro,Defensor,1400000,10400,116,120
Argentina (Premier Division),NO,162,55,15,Zurdo,Delantero,175000,100,76,120
Argentina (Second Division),NO,174,64,21,Zurdo,Defensor,220000,2900,95,120
Argentina (Premier Division),NO,167,73,30,Diestro,Mediocampista,1100000,10000,115,120
Argentina (Second Division),NO,189,76,20,Diestro,Delantero,170000,20,85,120
Argentina (Premier Division),NO,185,79,21,Diestro,Arquero,325000,3200,92,120
Argentina (Second Division),NO,167,68,21,Diestro,Mediocampista,350000,4400,99,120
Argentina (Premier Division),NO,182,76,27,Zurdo,Defensor,1200000,5600,116,120
Argentina (Second Division),NO,176,68,20,Zurdo,Mediocampista,375000,3800,90,120
Argentina (Premier Division),NO,175,60,19,Zurdo,Mediocampista,425000,4000,93,120
Argentina (Premier Division),NO,181,71,19,Zurdo,Delantero,235000,2700,88,120
Argentina (Premier Division),NO,193,77,16,Diestro,Arquero,115000,1400,75,120
Argentina (Second Division),NO,175,69,30,Zurdo,Mediocampista,1000000,13600,119,120
Argentina (Premier Division),NO,190,79,19,Diestro,Arquero,180000,100,84,120
Argentina (Metropolitan Zone),NO,184,77,21,Diestro,Mediocampista,725000,5200,98,120
Argentina (Second Division),NO,183,80,22,Diestro,Defensor,725000,6400,104,120
Argentina (Premier Division),NO,185,94,21,Diestro,Arquero,165000,1900,90,120
Argentina (Premier Division),NO,195,83,30,Zurdo,Defensor,1100000,10400,116,120
Argentina (Premier Division),NO,179,73,21,Diestro,Mediocampista,300000,3700,88,120
Argentina (Second Division),SI,175,71,35,Diestro,Mediocampista,1300,340,89,120
Argentina (Second Division),NO,180,78,25,Diestro,Delantero,575000,9600,112,120
Argentina (Interior Zone),NO,188,79,22,Diestro,Arquero,500000,6400,101,120
Argentina (Premier Division),NO,186,73,25,Zurdo,Mediocampista,950000,8800,117,120
Argentina (Premier Division),NO,178,74,27,Diestro,Mediocampista,2000000,13600,119,120
Argentina (Interior Zone),NO,179,80,39,Diestro,Defensor,9750,2400,91,120
Argentina (Metropolitan Zone),NO,178,70,26,Diestro,Mediocampista,250000,4800,100,120
Argentina (Interior Zone),NO,169,65,33,Diestro,Defensor,120000,6400,107,120
Argentina (Second Division),NO,180,71,19,Zurdo,Mediocampista,150000,1600,85,120
Argentina (Premier Division),NO,177,74,26,Diestro,Mediocampista,1600000,16400,119,120
Argentina (Metropolitan Zone),NO,184,77,21,Diestro,Defensor,130000,2800,84,120
Argentina (Premier Division),NO,172,61,21,Diestro,Defensor,375000,3500,95,120
Argentina (Premier Division),NO,179,73,20,Diestro,Mediocampista,725000,5200,98,120
Argentina (Metropolitan Zone),NO,193,85,21,Diestro,Defensor,375000,2800,87,120
Argentina (Second Division),NO,188,87,33,Diestro,Delantero,325000,10800,115,120
Argentina (Second Division),NO,175,73,21,Zurdo,Mediocampista,475000,5600,100,120
Argentina (Second Division),NO,185,77,26,Diestro,Arquero,725000,11200,108,120
Argentina (Interior Zone),NO,170,69,34,Diestro,Mediocampista,29500,3900,99,120
Argentina (Second Division),NO,167,70,26,Diestro,Defensor,525000,8800,111,120
Argentina (Second Division),NO,182,72,26,Diestro,Mediocampista,875000,10400,115,120
Argentina (Premier Division),NO,186,77,18,Zurdo,Defensor,210000,100,79,120
Argentina (Second Division),NO,187,79,33,Diestro,Defensor,190000,8400,116,120
Argentina (Metropolitan Zone),NO,175,69,20,Zurdo,Mediocampista,235000,4400,95,120
Argentina (Premier Division),NO,176,66,17,Diestro,Mediocampista,160000,100,76,120
Argentina (Premier Division),NO,170,61,22,Diestro,Mediocampista,300000,3200,98,120
Argentina (Premier Division),NO,184,81,18,Diestro,Mediocampista,215000,2800,90,120
Argentina (Second Division),NO,173,72,32,Zurdo,Defensor,300000,8000,108,120
Argentina (Second Division),NO,189,81,21,Diestro,Delantero,275000,3400,95,120
Argentina (Premier Division),NO,175,73,30,Diestro,Mediocampista,775000,1100,116,120
Argentina (Premier Division),NO,181,73,17,Diestro,Defensor,375000,3500,94,120
Argentina (Premier Division),NO,172,68,21,Zurdo,Defensor,325000,3500,95,120
Argentina (Metropolitan Zone),NO,188,77,18,Diestro,Mediocampista,105000,20,82,120
Argentina (Second Division),SI,162,55,20,Diestro,Mediocampista,500,480,74,120
Argentina (Premier Division),NO,180,83,22,Diestro,Delantero,900000,6400,105,120
Argentina (Second Division),NO,180,70,24,Diestro,Defensor,750000,8400,110,120
Argentina (Premier Division),NO,174,67,21,Diestro,Delantero,625000,4400,94,120
Argentina (Interior Zone),NO,189,95,32,Diestro,Delantero,300000,10000,110,120
Argentina (Second Division),NO,174,70,25,Diestro,Delantero,750000,9200,110,120
Argentina (Metropolitan Zone),NO,182,81,27,Zurdo,Defensor,450000,10000,112,120
Argentina (Premier Division),NO,182,81,21,Diestro,Arquero,550000,4800,108,120
Argentina (Premier Division),NO,192,87,18,Diestro,Defensor,155000,100,83,120
Argentina (Premier Division),NO,184,79,19,Diestro,Delantero,700000,4800,100,120
Argentina (Premier Division),NO,169,66,21,Diestro,Delantero,800000,7600,99,120
Argentina (Premier Division),NO,176,72,30,Diestro,Mediocampista,1600000,12000,114,120
Argentina (Premier Division),NO,175,67,22,Diestro,Defensor,230000,2500,90,120
Argentina (Premier Division),NO,176,70,19,Zurdo,Defensor,250000,100,82,120
Argentina (Premier Division),NO,182,69,17,Diestro,Mediocampista,275000,100,82,120
Argentina (Metropolitan Zone),NO,178,67,27,Zurdo,Mediocampista,325000,6000,100,120
Argentina (Interior Zone),NO,183,80,37,Diestro,Delantero,73000,6400,103,120
Argentina (Premier Division),NO,170,58,16,Diestro,Mediocampista,190000,100,80,120
Argentina (Second Division),NO,170,62,26,Zurdo,Mediocampista,925000,12000,116,120
Argentina (Metropolitan Zone),NO,184,65,15,Diestro,Delantero,95000,20,68,120
Argentina (Second Division),NO,177,70,21,Diestro,Defensor,425000,5600,103,120
Argentina (Second Division),NO,167,60,21,Zurdo,Mediocampista,450000,5200,105,120
Argentina (Metropolitan Zone),NO,175,74,20,Diestro,Delantero,275000,3200,97,120
Argentina (Second Division),NO,178,73,20,Zurdo,Defensor,425000,6000,100,120
Argentina (Premier Division),NO,175,71,21,Diestro,Mediocampista,575000,4800,95,120
Argentina (Second Division),NO,186,82,33,Diestro,Defensor,175000,6800,104,120
Argentina (Premier Division),NO,187,78,22,Diestro,Arquero,375000,3700,95,120
Argentina (Second Division),NO,188,78,33,Diestro,Delantero,250000,12400,112,120
Argentina (Second Division),NO,176,71,30,Zurdo,Defensor,525000,8400,114,120
Argentina (Interior Zone),NO,180,73,37,Zurdo,Defensor,42000,11200,112,120
Argentina (Metropolitan Zone),NO,181,79,21,Diestro,Mediocampista,275000,5200,96,120
Argentina (Premier Division),NO,176,68,18,Zurdo,Mediocampista,475000,100,96,120
Argentina (Premier Division),NO,181,71,19,Diestro,Delantero,650000,4800,100,120
Argentina (Metropolitan Zone),NO,175,70,20,Diestro,Delantero,650000,4800,95,120
Argentina (Interior Zone),NO,171,67,34,Diestro,Mediocampista,57000,6400,108,120
Argentina (Second Division),NO,183,83,29,Diestro,Arquero,550000,9200,113,120
Argentina (Metropolitan Zone),NO,182,85,37,Diestro,Delantero,51000,6400,102,120
Argentina (Second Division),NO,176,74,34,Diestro,Mediocampista,84000,8400,110,120
Argentina (Metropolitan Zone),NO,178,70,28,Diestro,Mediocampista,88000,1900,114,120
Argentina (Second Division),NO,173,76,25,Zurdo,Defensor,500000,8000,108,120
Argentina (Second Division),NO,179,76,26,Diestro,Mediocampista,900000,9200,112,120
Argentina (Metropolitan Zone),NO,183,77,27,Zurdo,Delantero,525000,8400,107,120
Argentina (Interior Zone),NO,181,73,34,Diestro,Arquero,160000,6800,111,120
Argentina (Second Division),NO,183,74,20,Diestro,Arquero,125000,20,85,120
Argentina (Second Division),NO,191,86,36,Diestro,Arquero,175000,10800,115,120
Argentina (Second Division),NO,184,74,20,Diestro,Mediocampista,475000,5600,104,120
Argentina (Premier Division),NO,203,110,21,Zurdo,Defensor,225000,2100,85,120
Argentina (Second Division),NO,182,79,26,Diestro,Defensor,425000,6000,109,120
Argentina (Premier Division),NO,178,69,27,Zurdo,Defensor,575000,6800,105,120
Argentina (Second Division),NO,179,74,22,Diestro,Defensor,825000,10000,108,120
Argentina (Premier Division),NO,163,55,21,Zurdo,Defensor,725000,8800,106,120
Argentina (Premier Division),NO,179,65,16,Zurdo,Mediocampista,225000,100,75,120
Argentina (Second Division),NO,173,69,31,Diestro,Delantero,400000,8400,111,120
Argentina (Premier Division),NO,180,73,21,Diestro,Defensor,750000,5200,101,120
Argentina (Premier Division),NO,179,76,36,Diestro,Arquero,175000,720,116,120
Argentina (Premier Division),NO,181,80,22,Zurdo,Defensor,725000,5600,104,120
Argentina (Second Division),NO,187,84,31,Diestro,Defensor,625000,10800,115,120
Argentina (Interior Zone),NO,179,82,33,Diestro,Defensor,56000,3600,95,120
Argentina (Premier Division),NO,179,70,18,Diestro,Delantero,200000,100,87,120
Argentina (Interior Zone),NO,176,82,35,Zurdo,Defensor,56000,10800,110,120
Argentina (Premier Division),NO,180,83,24,Diestro,Arquero,875000,10000,113,120
Argentina (Second Division),NO,192,76,24,Zurdo,Defensor,500000,10800,111,120
Argentina (Interior Zone),NO,177,70,29,Diestro,Delantero,575000,8800,108,120
Argentina (Premier Division),NO,175,70,28,Diestro,Delantero,1000000,8800,120,120
Argentina (Metropolitan Zone),NO,185,82,22,Diestro,Defensor,325000,6000,102,120
Argentina (Interior Zone),NO,183,86,35,Zurdo,Mediocampista,30000,6000,104,120
Argentina (Premier Division),NO,186,78,28,Zurdo,Defensor,1000000,8400,116,120
Argentina (Metropolitan Zone),NO,187,77,21,Zurdo,Defensor,425000,5200,94,120
Argentina (Second Division),NO,178,70,31,Diestro,Mediocampista,425000,6400,105,120
Argentina (Second Division),NO,185,79,21,Diestro,Defensor,450000,5600,99,120
Argentina (Premier Division),SI,183,79,30,Diestro,Defensor,1200000,10800,110,120
Argentina (Metropolitan Zone),NO,166,63,25,Diestro,Delantero,1000000,8800,112,120
Argentina (Second Division),NO,190,84,26,Zurdo,Delantero,825000,8800,116,120
Argentina (Second Division),NO,179,74,30,Diestro,Delantero,550000,6400,112,120
Argentina (Second Division),NO,177,75,36,Diestro,Mediocampista,71000,10400,114,120
Argentina (Second Division),NO,174,71,31,Diestro,Mediocampista,625000,12000,117,120
Argentina (Metropolitan Zone),NO,176,68,21,Diestro,Mediocampista,375000,4400,91,120
Argentina (Second Division),NO,176,71,29,Zurdo,Delantero,1100000,10800,113,120
Argentina (Premier Division),NO,175,68,18,Diestro,Delantero,245000,100,95,120
Argentina (Second Division),NO,167,66,21,Diestro,Delantero,275000,3500,95,120
Argentina (Premier Division),NO,176,71,19,Diestro,Delantero,250000,100,92,120
Argentina (Second Division),NO,180,78,25,Diestro,Mediocampista,600000,8400,105,120
Argentina (Second Division),NO,177,68,21,Zurdo,Defensor,525000,6400,101,120
Argentina (Second Division),NO,180,71,20,Diestro,Mediocampista,350000,20,90,120
Argentina (Second Division),NO,187,85,33,Diestro,Arquero,49500,1000,114,120
Argentina (Second Division),SI,187,83,36,Diestro,Defensor,70000,10400,113,120
Argentina (Metropolitan Zone),NO,170,66,23,Diestro,Delantero,375000,8400,105,120
Argentina (Second Division),NO,189,90,35,Diestro,Delantero,73000,6800,111,120
Argentina (Premier Division),NO,181,74,19,Diestro,Defensor,180000,2600,88,120
Argentina (Second Division),NO,177,72,31,Diestro,Mediocampista,575000,10400,113,120
Argentina (Second Division),NO,162,60,25,Zurdo,Mediocampista,750000,9600,118,120
Argentina (Interior Zone),NO,175,74,32,Zurdo,Mediocampista,160000,7200,107,120
Argentina (Interior Zone),NO,177,77,40,Diestro,Mediocampista,20000,4400,102,120
Argentina (Premier Division),NO,187,71,16,Diestro,Mediocampista,240000,2200,88,120
Argentina (Premier Division),NO,178,72,18,Diestro,Delantero,240000,100,88,120
Argentina (Premier Division),NO,186,82,19,Diestro,Delantero,850000,6400,106,120
Argentina (Second Division),NO,178,71,21,Diestro,Mediocampista,300000,4000,90,120
Argentina (Second Division),NO,178,75,18,Diestro,Delantero,300000,3600,100,120
Argentina (Second Division),NO,186,80,23,Diestro,Defensor,400000,4400,95,120
Argentina (Second Division),NO,169,69,32,Diestro,Mediocampista,750000,14000,119,120
Argentina (Metropolitan Zone),NO,180,88,21,Diestro,Mediocampista,600000,5200,94,120
Argentina (Second Division),NO,178,83,36,Diestro,Defensor,74000,11600,120,120
Argentina (Premier Division),NO,185,75,18,Diestro,Arquero,135000,100,80,119
Argentina (Second Division),NO,178,71,18,Diestro,Delantero,185000,20,89,119
Argentina (Premier Division),NO,176,72,23,Diestro,Delantero,875000,6800,103,119
Argentina (Premier Division),NO,186,76,18,Zurdo,Delantero,225000,100,85,119
Argentina (Second Division),NO,186,80,25,Zurdo,Defensor,675000,6400,100,119
Argentina (Second Division),NO,183,81,32,Diestro,Arquero,350000,6400,112,119
Argentina (Second Division),NO,177,72,21,Diestro,Defensor,600000,6800,104,119
Argentina (Premier Division),NO,175,65,17,Zurdo,Delantero,200000,1800,90,119
Argentina (Metropolitan Zone),NO,184,80,21,Diestro,Delantero,250000,2200,94,119
Argentina (Second Division),NO,176,67,19,Diestro,Delantero,325000,20,87,119
Argentina (Second Division),NO,183,79,25,Diestro,Arquero,350000,5200,104,119
Argentina (Premier Division),NO,167,63,30,Diestro,Defensor,1600000,12800,115,119
Argentina (Premier Division),NO,189,78,18,Zurdo,Defensor,475000,100,94,119
Argentina (Premier Division),NO,173,58,17,Diestro,Delantero,205000,100,88,119
Argentina (Second Division),NO,180,73,22,Diestro,Mediocampista,625000,6400,103,119
Argentina (Premier Division),NO,182,70,17,Diestro,Mediocampista,195000,100,87,119
Argentina (Metropolitan Zone),NO,180,75,22,Diestro,Defensor,350000,6000,101,119
Argentina (Interior Zone),SI,175,72,24,Diestro,Mediocampista,135000,3600,104,119
Argentina (Second Division),NO,170,64,26,Diestro,Delantero,1800000,12000,118,119
Argentina (Second Division),NO,171,73,29,Zurdo,Mediocampista,1100000,10800,111,119
Argentina (Premier Division),NO,183,77,18,Diestro,Defensor,180000,100,85,119
Argentina (Premier Division),NO,180,78,19,Diestro,Delantero,375000,440,90,119
Argentina (Premier Division),NO,173,64,19,Zurdo,Mediocampista,200000,100,80,119
Argentina (Premier Division),NO,179,75,34,Diestro,Mediocampista,27500,5600,112,119
Argentina (Second Division),NO,185,85,23,Diestro,Delantero,1000000,760,110,119
Argentina (Premier Division),NO,175,70,18,Diestro,Defensor,185000,100,89,119
Argentina (Second Division),NO,180,75,19,Diestro,Defensor,675000,6000,101,119
Argentina (Premier Division),NO,179,77,22,Diestro,Mediocampista,425000,4000,103,119
Argentina (Second Division),NO,176,74,23,Zurdo,Mediocampista,525000,7200,105,119
Argentina (Interior Zone),NO,170,70,35,Diestro,Mediocampista,34000,6400,109,119
Argentina (Premier Division),NO,178,73,20,Zurdo,Defensor,425000,3700,90,119
Argentina (Interior Zone),SI,170,71,35,Diestro,Mediocampista,14250,1600,99,119
Argentina (Premier Division),NO,180,71,19,Zurdo,Defensor,215000,100,84,119
Argentina (Second Division),NO,174,72,22,Diestro,Mediocampista,325000,3800,92,119
Argentina (Second Division),NO,194,93,31,Diestro,Defensor,325000,8000,113,119
Argentina (Premier Division),SI,189,72,26,Diestro,Delantero,1200000,10000,113,119
Argentina (Premier Division),NO,193,81,18,Diestro,Arquero,375000,100,90,119
Argentina (Second Division),NO,178,76,29,Zurdo,Mediocampista,550000,7200,113,119
Argentina (Premier Division),NO,171,67,26,Zurdo,Mediocampista,750000,8400,115,119
Argentina (Metropolitan Zone),NO,182,81,27,Diestro,Delantero,375000,7600,109,119
Argentina (Second Division),NO,178,66,18,Diestro,Arquero,115000,20,85,119
Argentina (Premier Division),SI,187,85,24,Diestro,Defensor,65000,560,106,119
Argentina (Premier Division),NO,185,84,28,Diestro,Defensor,1400000,11200,116,119
Argentina (Premier Division),NO,170,70,20,Diestro,Mediocampista,350000,100,92,119
Argentina (Second Division),NO,180,69,20,Diestro,Delantero,500000,6400,109,119
Argentina (Premier Division),NO,172,62,19,Diestro,Mediocampista,165000,100,80,119
Argentina (Metropolitan Zone),NO,180,77,26,Diestro,Delantero,205000,3600,103,119
Argentina (Second Division),NO,168,66,30,Zurdo,Defensor,475000,8400,115,119
Argentina (Metropolitan Zone),NO,180,80,22,Diestro,Defensor,185000,3900,103,119
Argentina (Interior Zone),NO,174,73,21,Diestro,Defensor,88000,2500,96,119
Argentina (Second Division),NO,171,68,21,Diestro,Delantero,375000,4000,98,119
Argentina (Second Division),NO,167,64,27,Diestro,Delantero,575000,8000,113,119
Argentina (Interior Zone),NO,178,67,17,Diestro,Mediocampista,95000,20,70,119
Argentina (Premier Division),NO,189,78,18,Diestro,Delantero,425000,4400,96,119
Argentina (Interior Zone),NO,167,61,20,Zurdo,Mediocampista,105000,2300,92,119
Argentina (Premier Division),NO,177,77,21,Diestro,Delantero,550000,6000,99,119
Argentina (Premier Division),NO,182,74,22,Zurdo,Defensor,625000,6000,107,119
Argentina (Interior Zone),NO,169,67,34,Diestro,Delantero,95000,11600,113,119
Argentina (Premier Division),NO,175,72,18,Diestro,Mediocampista,190000,100,85,119
Argentina (Premier Division),NO,180,73,19,Diestro,Mediocampista,350000,100,85,119
Argentina (Interior Zone),NO,178,76,22,Zurdo,Mediocampista,190000,2900,95,119
Argentina (Premier Division),NO,194,81,17,Diestro,Arquero,225000,100,89,119
Argentina (Premier Division),NO,170,61,20,Diestro,Delantero,650000,4800,94,119
Argentina (Interior Zone),NO,175,73,23,Diestro,Defensor,525000,6400,112,119
Argentina (Second Division),NO,181,79,26,Diestro,Delantero,700000,8000,115,119
Argentina (Premier Division),NO,182,67,16,Diestro,Defensor,100000,100,60,119
Argentina (Premier Division),NO,176,72,20,Zurdo,Mediocampista,450000,100,94,119
Argentina (Premier Division),SI,179,71,19,Diestro,Delantero,200000,100,83,119
Argentina (Second Division),NO,175,69,24,Diestro,Mediocampista,950000,8400,116,119
Argentina (Premier Division),NO,172,65,21,Zurdo,Mediocampista,205000,2600,94,119
Argentina (Premier Division),NO,172,79,27,Diestro,Defensor,1500000,11200,118,119
Argentina (Premier Division),NO,179,75,19,Diestro,Defensor,205000,100,91,119
Argentina (Metropolitan Zone),NO,185,77,18,Diestro,Defensor,170000,20,80,119
Argentina (Premier Division),NO,193,80,19,Diestro,Arquero,155000,2500,85,119
Argentina (Premier Division),NO,177,67,17,Diestro,Mediocampista,190000,100,85,119
Argentina (Premier Division),NO,175,65,16,Zurdo,Defensor,155000,100,81,119
Argentina (Second Division),NO,185,82,23,Diestro,Mediocampista,600000,5600,105,119
Argentina (Second Division),NO,171,63,17,Diestro,Delantero,180000,20,78,119
Argentina (Premier Division),NO,176,70,20,Diestro,Delantero,450000,100,94,119
Argentina (Premier Division),NO,184,70,16,Zurdo,Defensor,110000,100,76,119
Argentina (Second Division),NO,171,71,23,Zurdo,Mediocampista,725000,10000,105,119
Argentina (Second Division),NO,185,82,31,Diestro,Defensor,425000,9600,114,118
Argentina (Second Division),NO,178,78,29,Zurdo,Delantero,500000,5600,110,118
Argentina (Second Division),NO,181,75,22,Zurdo,Delantero,525000,6400,102,118
Argentina (Premier Division),NO,193,83,18,Diestro,Arquero,140000,2500,85,118
Argentina (Premier Division),NO,169,58,17,Zurdo,Mediocampista,240000,100,91,118
Argentina (Premier Division),NO,171,71,24,Diestro,Mediocampista,350000,2800,100,118
Argentina (Premier Division),NO,191,78,17,Diestro,Defensor,170000,100,78,118
Argentina (Second Division),NO,168,64,19,Diestro,Delantero,700000,7200,106,118
Argentina (Premier Division),NO,182,67,17,Zurdo,Mediocampista,250000,2100,80,118
Argentina (Premier Division),NO,183,80,23,Diestro,Arquero,215000,2700,96,118
Argentina (Second Division),NO,183,79,25,Zurdo,Defensor,450000,6000,105,118
Argentina (Second Division),NO,184,81,30,Diestro,Defensor,450000,8000,112,118
Argentina (Second Division),NO,170,61,21,Diestro,Delantero,275000,3900,100,118
Argentina (Second Division),NO,167,64,22,Zurdo,Delantero,625000,5600,107,118
Argentina (Premier Division),NO,187,82,22,Diestro,Delantero,625000,4400,96,118
Argentina (Second Division),NO,189,89,35,Diestro,Arquero,275000,12000,112,118
Argentina (Premier Division),NO,179,65,19,Diestro,Defensor,215000,100,85,118
Argentina (Metropolitan Zone),NO,187,75,23,Diestro,Defensor,325000,6800,102,118
Argentina (Premier Division),NO,173,73,29,Diestro,Mediocampista,1200000,10800,115,118
Argentina (Second Division),NO,186,80,24,Diestro,Defensor,725000,6400,108,118
Argentina (Second Division),NO,184,73,18,Zurdo,Defensor,155000,20,78,118
Argentina (Metropolitan Zone),SI,194,83,22,Diestro,Defensor,70000,1000,99,118
Argentina (Interior Zone),NO,164,65,20,Zurdo,Mediocampista,475000,6000,105,118
Argentina (Premier Division),NO,189,79,21,Zurdo,Defensor,160000,1600,83,118
Argentina (Second Division),NO,175,72,30,Diestro,Delantero,1200000,14000,116,118
Argentina (Premier Division),NO,185,74,17,Diestro,Arquero,180000,100,78,118
Argentina (Interior Zone),SI,183,75,21,Zurdo,Defensor,135000,2900,104,118
Argentina (Second Division),NO,174,67,21,Ambidiestro,Mediocampista,400000,4800,95,118
Argentina (Second Division),NO,173,67,20,Zurdo,Mediocampista,375000,400,95,118
Argentina (Premier Division),NO,176,76,17,Diestro,Defensor,180000,100,80,118
Argentina (Second Division),NO,189,80,19,Diestro,Delantero,130000,20,77,118
Argentina (Premier Division),NO,189,77,32,Diestro,Delantero,575000,600,115,118
Argentina (Metropolitan Zone),NO,178,75,22,Diestro,Defensor,300000,4400,100,118
Argentina (Second Division),NO,171,73,26,Diestro,Mediocampista,575000,6000,109,118
Argentina (Second Division),NO,185,95,20,Diestro,Delantero,275000,20,95,118
Argentina (Second Division),NO,187,79,19,Diestro,Mediocampista,275000,20,100,118
Argentina (Premier Division),NO,181,73,17,Zurdo,Delantero,725000,5200,93,118
Argentina (Premier Division),NO,170,68,29,Ambidiestro,Mediocampista,1200000,8800,112,118
Argentina (Metropolitan Zone),NO,172,67,21,Diestro,Mediocampista,245000,3400,94,118
Argentina (Second Division),NO,181,71,23,Diestro,Delantero,800000,8400,109,118
Argentina (Premier Division),NO,175,74,18,Zurdo,Defensor,215000,100,94,118
Argentina (Second Division),NO,170,67,31,Diestro,Defensor,300000,7600,113,118
Argentina (Second Division),NO,186,83,21,Diestro,Defensor,240000,3300,95,118
Argentina (Metropolitan Zone),NO,175,72,22,Zurdo,Mediocampista,350000,6000,100,118
Argentina (Premier Division),NO,175,66,17,Diestro,Mediocampista,225000,100,87,118
Argentina (Second Division),NO,167,58,20,Diestro,Mediocampista,195000,20,76,118
Argentina (Second Division),NO,188,85,20,Diestro,Defensor,575000,20,99,118
Argentina (Premier Division),NO,175,74,20,Zurdo,Defensor,215000,100,88,118
Argentina (Second Division),NO,169,67,28,Zurdo,Defensor,475000,7200,110,118
Argentina (Premier Division),NO,192,81,18,Zurdo,Defensor,400000,100,94,118
Argentina (Premier Division),NO,183,75,16,Zurdo,Defensor,190000,100,89,118
Argentina (Premier Division),NO,173,68,18,Diestro,Defensor,215000,2100,85,118
Argentina (Premier Division),NO,181,68,18,Diestro,Delantero,240000,2100,78,118
Argentina (Interior Zone),NO,184,85,39,Diestro,Defensor,53000,9200,107,118
Argentina (Premier Division),NO,183,72,17,Zurdo,Mediocampista,165000,100,76,118
Argentina (Metropolitan Zone),SI,181,80,24,Diestro,Delantero,15000,1100,101,118
Argentina (Premier Division),NO,187,77,22,Diestro,Arquero,300000,5200,101,118
Argentina (Interior Zone),NO,177,74,27,Diestro,Mediocampista,375000,7600,109,118
Argentina (Metropolitan Zone),NO,176,64,17,Diestro,Delantero,150000,2400,80,118
Argentina (Interior Zone),NO,187,77,18,Diestro,Arquero,71000,20,75,118
Argentina (Premier Division),NO,169,65,21,Zurdo,Delantero,350000,7200,107,118
Argentina (Second Division),NO,187,83,18,Diestro,Defensor,235000,20,92,118
Argentina (Second Division),NO,191,78,20,Diestro,Arquero,170000,20,82,118
Argentina (Premier Division),NO,183,81,26,Diestro,Delantero,1500000,11200,118,118
Argentina (Premier Division),NO,180,68,17,Diestro,Arquero,275000,100,85,118
Argentina (Interior Zone),NO,174,71,22,Diestro,Mediocampista,575000,6400,102,118
Argentina (Second Division),NO,174,71,24,Zurdo,Delantero,800000,7600,112,118
Argentina (Second Division),NO,183,78,27,Diestro,Mediocampista,1000000,10400,112,118
